Nested Sampling Global Log-Evidence           :   -0.386005540461208625E+03  +/-    0.212503512821471868E+00
Nested Importance Sampling Global Log-Evidence:   -0.386101153258994771E+03  +/-    0.682013846415908953E-01

Dim No.       Mean        Sigma
   1    0.982025502418493068E+00    0.177559907327858348E-01
   2   -0.202224991029891754E+01    0.763651222112655681E-01
   3    0.190991739866699772E+01    0.104801825046939454E+00
   4   -0.400199447236737704E+01    0.751778952272972867E-01
   5    0.639688844204674378E+01    0.121046618683191276E-01
   6   -0.197069098707043167E+01    0.538089689978319630E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.995222174868819476E+00
   2   -0.195995239345654504E+01
   3    0.199720849157859837E+01
   4   -0.395985426456545131E+01
   5    0.640041710174399014E+01
   6   -0.134359328542519618E+01

MAP Parameters
Dim No.        Parameter
   1    0.995222174868819476E+00
   2   -0.195995239345654504E+01
   3    0.199720849157859837E+01
   4   -0.395985426456545131E+01
   5    0.640041710174399014E+01
   6   -0.134359328542519618E+01
